Demand Name,Cost,Revenue,Profit $,Margin %,Demand Bid Rate %,Supply Responses,Supply Impressions,Demand Win Rate %,sRPM $,Supply Bidfloor,Our Bidfloor,Demand eCPM
Criteo - Banner - US-E HighMar,1.27,2.63,1.35,51.59,0.57,240548,7825,71.8666,0.2182,0.09,0.19,0.34
Criteo - Banner - US-E S_O MidMar,1.06,2.07,1.01,48.65,0.68,212072,6194,76.496,0.2427,0.12,0.23,0.33
Criteo - Banner - US-E S_O LowMar,1.07,1.97,0.89,45.42,0.58,347914,6442,68.4741,0.1755,0.1,0.19,0.31
